TITLE,      UTID,       KEY,Class,Tempo,Notes         ,start-stop-Desc,       start-stop-Desc
MODE LESSON,96cydVB4w-A,A,Lesson,90,No Particular Notes,111-280-IONIAN (Major),515-600-Chart of Modes,200-210-crapola 2
C Major (Ionian),EBAq06UeKOg,C,Gypsy Jazz,,,,Note 1  Cm chord,The Chart-../UTool/btLists/modalChart.png
D-Dorian,GTS8yQAu9BY,D,?,110,76,,Note 2  Dm chord,The Chart-../UTool/btLists/modalChart.png
E-Phrygian,3wA_uaa6dvs,E,?,,,,Note 3  Em chord,The Chart-UTool/btLists/modalChart.png
F-Lydian,wjOIE8aR9TA,F,?,,,,Note 4  F chord,The Chart-/../../UTool/btLists/modalChart.png
G-Mixolydian,RW5T_OgjJ3k,G,funk,,,,Note 5  G chord,The Chart-/../../UTool/btLists/modalChart.png
A-Aeolian (Minor),tu7mDkkRnvM,A,Dave Gilmore Style,,,,Note 6  Am chord,The Chart-/../../UTool/btLists/modalChart.png
B-Locrian,tVW2rT7vmEI,B,weird,,,,Note 7 Bdim chord,The Chart-/../../UTool/btLists/modalChart.png
G-Dorian,L2UcjgX2rbY,G,jazz,,,,Test yourself,SingAlong-https://www.youtube.com/watch?v=GatiekRziok@chart-/../UTool/btLists/modalChart.png
B Dorian,vCzYvA_artY,B,Blues?,No Notes